S,n_epoch,t_epoch,delta
S001,0,right,-8.991224709775182
S001,1,left,15.321903936702604
S001,2,left,29.728945466069185
S001,3,right,-3.079182740574943
S001,4,right,68.67293863032063
S001,5,left,50.437836407300736
S001,6,left,1.099995025097499
S001,7,right,28.399897302405357
S001,8,left,25.237890685614325
S001,9,right,31.62794394830322
S001,10,right,-10.372464283394145
S001,11,left,0.3528239064599461
S001,12,left,6.6016582880019286
S001,13,right,-1.2862676948139793
S001,14,left,-5.009070180387852
S001,15,left,15.339799908811578
S001,16,right,38.59512950880125
S001,17,left,-5.020790809901683
S001,18,right,6.625044684566603
S001,19,left,-10.499863097697272
S001,20,right,27.08548998178358
S001,21,right,16.965155016968758
S001,22,left,7.854686267783997
S001,23,left,1.144503322010891
S001,24,right,-6.980975860542607
S001,25,right,-13.569981527644764
S001,26,left,43.3974658183199
S001,27,right,14.598736388640475
S001,28,left,26.959951917819026
S001,29,left,12.606397768073087
S001,30,left,12.139720824082936
S001,31,right,39.65770845365723
S001,32,right,27.630938441551145
S001,33,left,0.29453963188554155
S001,34,right,0.5495585683696618
S001,35,left,36.36220676441927
S001,36,left,19.612246018218784
S001,37,right,-9.21034187844623
S001,38,right,-0.8340852504794185
S001,39,left,7.91949829037965
S001,40,left,-9.717274390972186
S001,41,right,65.58833765515854
S001,42,right,29.624254195527833
S001,43,left,31.653860603957497
S001,44,right,92.83306177372307
S002,0,left,13.876252961167214
S002,1,right,-4.438458139608695
S002,2,right,17.670051695823577
S002,3,left,-1.9944767612782535
S002,4,left,34.33012668228302
S002,5,right,36.05579620485898
S002,6,right,31.96088875810713
S002,7,left,7.543754058721284
S002,8,right,8.793779750971552
S002,9,left,23.266175839013385
S002,10,left,7.333795125984981
S002,11,right,17.760818803501223
S002,12,left,40.19745395972764
S002,13,right,31.889556880328726
S002,14,left,7.818295482538147
S002,15,right,26.957983033046894
S002,16,left,16.706219214596636
S002,17,right,4.097278041073334
S002,18,left,-8.289851299214487
S002,19,right,8.011710907133939
S002,20,left,-1.1801271046097845
S002,21,left,5.24430168603077
S002,22,right,7.99102816599482
S002,23,left,18.221626971230705
S002,24,right,0.3866609267424366
S002,25,left,8.446684438029727
S002,26,right,19.218466682381802
S002,27,right,24.420572786349744
S002,28,left,-10.761493781561743
S002,29,right,-21.278843286322
S002,30,right,23.993346681944303
S002,31,left,2.865574554841313
S002,32,left,36.781160465127655
S002,33,right,39.803898704669486
S002,34,left,27.118745524321696
S002,35,right,24.706423845339817
S002,36,right,20.27818304739456
S002,37,left,27.950449945680127
S002,38,left,27.90261247163279
S002,39,right,10.222496930536565
S002,40,left,13.228612655665046
S002,41,right,24.10152430772148
S002,42,right,27.674134611273747
S002,43,left,27.759735797661786
S002,44,left,17.56069452776113
S003,0,right,16.574289217932552
S003,1,left,-22.03404546765526
S003,2,right,-13.052664337148073
S003,3,left,20.629768310848178
S003,4,left,-23.3091761995506
S003,5,right,-0.6374672407661777
S003,6,right,-0.16259712550578342
S003,7,left,18.83864231974126
S003,8,left,5.787224323226596
S003,9,right,-6.403454888770881
S003,10,left,-37.62368960676082
S003,11,right,35.681341937345046
S003,12,right,-21.74787695474523
S003,13,left,3.788640594763919
S003,14,right,-25.45668683810979
S003,15,left,22.03911994859925
S003,16,right,-2.7526751772328026
S003,17,left,-30.550391492748346
S003,18,right,-22.954652250075334
S003,19,left,-17.052150093464938
S003,20,right,15.694381421567215
S003,21,right,5.778000002958677
S003,22,left,-13.312760643795912
S003,23,left,5.927580121036399
S003,24,right,-40.692311855139806
S003,25,right,50.23645344703868
S003,26,left,-11.63717675088165
S003,27,right,24.680293572826926
S003,28,left,7.504391048149081
S003,29,left,7.964683052934419
S003,30,left,30.932565548516052
S003,31,right,2.118502195813676
S003,32,left,-13.368336833452204
S003,33,right,52.11406139891609
S003,34,right,-8.538621857560237
S003,35,left,23.47260418418483
S003,36,right,-14.14422041322387
S003,37,left,-16.50125239410002
S003,38,left,25.978903462848166
S003,39,right,-20.402250524245417
S003,40,left,59.04254825750374
S003,41,right,6.0552066372699755
S003,42,left,78.3780583991147
S003,43,right,20.61553408430104
S003,44,right,52.90137718596516
S004,0,right,-1.5166367407589192
S004,1,left,8.548259882990743
S004,2,right,-0.1215068520656466
S004,3,left,11.018176889260083
S004,4,left,4.499583071862762
S004,5,right,-1.6602911266684757
S004,6,left,7.191642709204366
S004,7,right,3.5474175880457715
S004,8,right,10.566950374465364
S004,9,left,6.538747497326051
S004,10,right,8.005313033221313
S004,11,left,4.328201983134408
S004,12,right,2.259953536047327
S004,13,left,6.084252258035775
S004,14,right,1.3042862767556507
S004,15,right,-3.6278000134161026
S004,16,left,4.362222934752136
S004,17,left,22.232889645241208
S004,18,right,19.882293484238616
S004,19,left,6.702242092458452
S004,20,right,6.279862593501548
S004,21,right,15.842850384119814
S004,22,left,3.7169791111601285
S004,23,right,7.830392985039964
S004,24,left,-0.2995175445122875
S004,25,left,5.954014594591284
S004,26,right,5.212861587250819
S004,27,right,3.4410417227881265
S004,28,left,12.990351758189238
S004,29,right,-0.11658756756016153
S004,30,left,4.865647417629109
S004,31,right,10.57793224954958
S004,32,right,9.923469828827477
S004,33,left,10.173673875985903
S004,34,left,7.757726152142341
S004,35,right,7.35663113386159
S004,36,left,4.450726719803082
S004,37,right,2.898071165447501
S004,38,left,13.947647736994545
S004,39,right,8.614958191722309
S004,40,left,15.269599424864687
S004,41,right,12.755791544949549
S004,42,right,4.680002710270646
S004,43,left,12.508606338583263
S004,44,left,17.145636448410198
S005,0,left,5.879151653373405
S005,1,right,-4.252822309865309
S005,2,right,4.848415283908089
S005,3,left,-0.3443581170492003
S005,4,right,6.284814994646343
S005,5,left,-0.08387408985916167
S005,6,right,0.7728427250790126
S005,7,left,8.92081263215964
S005,8,right,-0.749176139907366
S005,9,left,7.566031997167201
S005,10,left,-4.630291608913494
S005,11,right,11.602230769275128
S005,12,left,9.79466812258687
S005,13,right,3.9774650432922343
S005,14,right,6.400362004545119
S005,15,right,2.937079070616095
S005,16,left,-7.2327431455139575
S005,17,left,11.008632723303094
S005,18,right,3.1686145832034356
S005,19,left,11.768951396526788
S005,20,right,9.699530206969689
S005,21,right,2.2759803180406735
S005,22,left,1.209946236574556
S005,23,right,6.913810199879249
S005,24,left,1.711479814044818
S005,25,right,4.649344887358616
S005,26,left,13.492388850694404
S005,27,left,7.017287385880461
S005,28,right,7.920758935227781
S005,29,left,-0.9497873034037099
S005,30,left,7.924775008864001
S005,31,right,-0.7816150854484611
S005,32,left,-11.123894815318295
S005,33,right,-0.06983148167596553
S005,34,right,0.07441259262318667
S005,35,left,5.187147160124592
S005,36,right,8.826401649356328
S005,37,left,10.708198184286228
S005,38,left,-4.274438150688724
S005,39,right,-6.944546122687068
S005,40,left,-20.742488406741103
S005,41,right,-0.9056489001998251
S005,42,right,4.866781434974239
S005,43,left,-2.2242597998572045
S005,44,left,15.13651710486765
S006,0,right,3.181288703374838
S006,1,left,-4.462847792345144
S006,2,left,3.613711577127095
S006,3,right,2.528070192506565
S006,4,left,-0.5373335240138815
S006,5,right,0.248404866017907
S006,6,left,-0.9588119885341406
S006,7,right,-2.999915659056171
S006,8,right,5.655151606762832
S006,9,left,-2.963351789212254
S006,10,left,4.482254440041189
S006,11,right,4.745255272378516
S006,12,right,4.056685929921702
S006,13,left,3.611351839064909
S006,14,left,8.42970438494838
S006,15,left,2.4855199167932938
S006,16,right,6.42598081865723
S006,17,left,3.6275874219438684
S006,18,right,7.397575346745622
S006,19,left,7.574758817753182
S006,20,right,6.381510229925908
S006,21,left,5.197564608147758
S006,22,right,-1.496865881508878
S006,23,left,-2.4590458003977176
S006,24,right,11.24136103256912
S006,25,right,13.122963958613115
S006,26,left,-0.25931638511490007
S006,27,right,6.737836218596854
S006,28,left,-3.467767665251859
S006,29,right,0.6237810639322241
S006,30,right,-2.2008969255269726
S006,31,left,2.919262957794503
S006,32,right,24.553911097376712
