S,n_epoch,t_epoch,delta
S001,0,right,13.221190034106925
S001,1,left,12.825419515946535
S001,2,left,20.724151817720312
S001,3,right,3.49168927254172
S001,4,right,22.09917075852477
S001,5,left,16.964767780743493
S001,6,right,0.20259922433099575
S001,7,left,-15.52058857967593
S001,8,right,4.107274612484957
S001,9,left,-37.416754366956496
S001,10,left,17.15636240456073
S001,11,right,6.294693798112171
S001,12,left,18.698088434902296
S001,13,right,2.273194146350349
S001,14,left,17.546340497184154
S001,15,left,15.883464473692932
S001,16,right,23.44160806345357
S001,17,left,4.765254240797631
S001,18,right,20.65687842952405
S001,19,left,9.181206129286075
S001,20,right,7.293958497351561
S001,21,left,27.792391720321007
S001,22,right,28.9544522898807
S001,23,right,28.677921074623036
S001,24,left,25.41602994333308
S001,25,left,29.165850881558335
S001,26,right,-0.03932085270173502
S001,27,right,2.8428188152086022
S001,28,left,6.351310408632131
S001,29,left,21.80000122295497
S001,30,right,8.040941826401998
S001,31,left,-1.0799348915358706
S001,32,right,19.379405472227525
S001,33,left,23.9685366745677
S001,34,left,-11.196265748699766
S001,35,right,18.40220089360828
S001,36,right,41.64282544062668
S001,37,left,-3.524241714043164
S001,38,left,17.47956878043459
S001,39,right,30.783926862224483
S001,40,right,2.8969032034770237
S001,41,left,-2.3173302836568226
S001,42,right,26.84661320253999
S001,43,left,7.887426617309636
S001,44,right,11.12025918392812
S002,0,left,13.841894645982169
S002,1,right,1.7869408518469356
S002,2,left,4.59149801694457
S002,3,right,-12.292874130842328
S002,4,left,6.361759660746436
S002,5,right,11.705532195742123
S002,6,right,3.285324776473228
S002,7,left,0.8347815878059066
S002,8,right,26.580210797101323
S002,9,left,-19.72436689026445
S002,10,right,2.869811976180916
S002,11,left,0.9065248443597369
S002,12,right,1.3719837449214083
S002,13,left,5.605675867099304
S002,14,right,7.268112035107507
S002,15,left,10.818674420132783
S002,16,right,12.048093056488625
S002,17,right,12.44080264504398
S002,18,left,8.30164735633658
S002,19,right,-34.55500599512996
S002,20,left,16.644600840268698
S002,21,right,18.449269811691607
S002,22,left,3.3605205501645443
S002,23,right,3.031891121479042
S002,24,left,-1.608941466309581
S002,25,right,13.488604234358313
S002,26,left,27.827088205399356
S002,27,left,14.185579772891138
S002,28,right,7.641624030620694
S002,29,left,12.883285274602063
S002,30,left,11.889305489056113
S002,31,right,32.118453815993576
S002,32,right,5.0748763507242245
S002,33,left,11.101576972672227
S002,34,right,11.809523817448124
S002,35,left,-0.813324203109751
S002,36,left,-12.466561773046138
S002,37,right,-1.7296641264948214
S002,38,right,-15.45547491167742
S002,39,left,-2.106660764618134
S002,40,right,16.24264522437528
S002,41,left,4.496174001053088
S002,42,left,0.04529735231627541
S002,43,right,-11.753566201253602
S002,44,left,-4.7169224586078045
S003,0,right,-2.190503530051572
S003,1,left,-4.703107535605355
S003,2,right,-36.02919505675387
S003,3,left,25.387960133970466
S003,4,right,15.313283607108247
