S,n_epoch,t_epoch,delta
S001,0,right,25.009532768410196
S001,1,left,10.326131532849146
S001,2,left,24.44746511308024
S001,3,right,32.70265800698712
S001,4,right,41.963881644845216
S001,5,left,1.722485870992216
S001,6,right,42.91398894580992
S001,7,left,14.777167804604105
S001,8,right,19.287047740749003
S001,9,left,-1.7089981288300038
S001,10,left,28.047736936911754
S001,11,right,-1.1667125487713577
S001,12,left,39.396781220018774
S001,13,right,36.60170512279129
S001,14,left,48.65321888276152
S001,15,left,3.2860872235233174
S001,16,right,6.306244715737719
S001,17,left,5.597429623748688
S001,18,right,5.1566310638302895
S001,19,left,36.96836107173047
S001,20,right,-7.952369194455912
S001,21,left,35.02182607579837
S001,22,right,52.36854032564872
S001,23,right,-13.467240622258466
S001,24,left,43.53857946339957
S001,25,left,52.62329422068563
S001,26,right,-9.19223810274923
S001,27,right,30.674589749381468
S001,28,left,13.672685518605405
S001,29,left,1.2680500867972668
S001,30,right,14.543135265996817
S001,31,left,8.513533766967228
S001,32,right,15.620170526955889
S001,33,left,20.104300746487887
S001,34,left,0.6152781067632844
S001,35,right,30.76839204788675
S001,36,right,4.6039705576045975
S001,37,left,4.381277290166977
S001,38,left,-1.4114024973686696
S001,39,right,20.125002737164436
S001,40,right,0.3823165017485053
S001,41,left,46.81390579726627
S001,42,right,20.492949814988364
S001,43,left,9.538943381473636
S001,44,right,6.380582958503311
S002,0,left,17.649007944225133
S002,1,right,0.8499226151688006
S002,2,left,1.063694555123476
S002,3,right,20.216454026252634
S002,4,left,0.8681520840300294
S002,5,right,5.009435127271637
S002,6,right,3.7394082690382042
S002,7,left,22.329062292800756
S002,8,right,26.63952634698252
S002,9,left,-17.08666718033348
S002,10,right,9.09259219045417
S002,11,left,-4.473893644828706
S002,12,right,10.919623642247181
S002,13,left,6.288990627837265
S002,14,right,19.000056299272345
S002,15,left,5.4262243847719915
S002,16,right,3.0038689179246667
S002,17,right,12.351578825900383
S002,18,left,8.013691890423189
S002,19,right,0.5077536996729819
S002,20,left,4.029763127476066
S002,21,right,26.869459475610036
S002,22,left,11.936018900763756
S002,23,right,10.131634311980633
S002,24,left,13.38838474836507
S002,25,right,15.737888442264008
S002,26,left,18.172613779943113
S002,27,left,5.808560001436078
S002,28,right,10.470733528024063
S002,29,left,46.4588227624133
S002,30,left,7.643550865019662
S002,31,right,17.413433940711233
S002,32,right,4.342807589911274
S002,33,left,7.733774377567997
S002,34,right,18.483444520707277
S002,35,left,1.557078146033497
S002,36,left,-6.52354049520666
S002,37,right,-17.212327058491127
S002,38,right,-1.491441788026222
S002,39,left,-3.8977940786339715
S002,40,right,22.25263169423159
S002,41,left,3.563322171292853
S002,42,left,-1.3205010320158053
S002,43,right,4.07653167937103
S002,44,left,-0.7757325801769142
S003,0,right,2.2822907294588077
S003,1,left,-8.463908288561463
S003,2,right,-45.84181270512293
S003,3,left,54.506088415291465
S003,4,right,11.077620304588606
S003,5,left,6.252844014080665
S003,6,left,87.2480906986676
S003,7,right,-4.042548144705549
S003,8,left,6.655905515988735
S003,9,right,-21.393081632979417
S003,10,left,-30.537301883562307
S003,11,right,-12.813625882437435
S003,12,right,-57.6026674339429
S003,13,left,-15.006192641890536
S003,14,left,30.209644996879888
S003,15,left,-7.090671272052738
S003,16,right,-1.903603116923641
S003,17,left,-5.883105638323173
S003,18,right,32.61172326441232
S003,19,right,-4.6623686689200525
S003,20,left,24.520343734588423
S003,21,left,-20.055012051277956
S003,22,right,29.411452181501154
S003,23,right,-10.39383373480102
S003,24,left,49.230962124215495
S003,25,left,33.830189540765474
S003,26,right,-6.560091597472919
S003,27,right,-22.203893561628362
S003,28,left,-4.050036762767235
S003,29,right,-10.107308460818672
S003,30,right,-10.618206113250494
S003,31,left,-0.8488132968450586
S003,32,right,-13.569063205271341
S003,33,left,-12.317430174598684
S003,34,left,-7.347658859685879
S003,35,right,2.6234206748592968
S003,36,left,-23.400866834529857
S003,37,right,-2.123623162482346
S003,38,right,0.11746462467155538
S003,39,left,-33.724192970422806
S003,40,left,22.30779856260564
S003,41,right,-20.759060038623574
S003,42,left,37.6985828484043
S003,43,right,37.138410185785986
S003,44,left,-11.645591844347052
S004,0,left,0.583756137380135
S004,1,right,1.5980530096479413
S004,2,left,14.775235240383715
S004,3,right,5.705768455141751
S004,4,left,13.645160360532163
