S,n_epoch,t_epoch,delta
S001,0,right,-7.834522943510699
S001,1,left,14.648973263623873
S001,2,left,15.407533789053453
S001,3,right,40.655231876713394
S001,4,right,33.77274388089446
S001,5,left,-7.121186290658947
S001,6,left,1.3568509917742162
S001,7,right,16.26097322974867
S001,8,left,20.90892299010043
S001,9,right,9.544314497044596
S001,10,right,-3.5258984713434742
S001,11,left,33.54461401354573
S001,12,left,24.741504981933446
S001,13,right,19.52838856143363
S001,14,left,-4.1260388712240825
S001,15,left,6.1687532430112455
S001,16,right,7.237838368287207
S001,17,left,8.837494467021088
S001,18,right,-0.06474925138995502
S001,19,left,-12.809025951911678
S001,20,right,36.84390854734803
S001,21,right,33.71370014269432
S001,22,left,16.351857691300268
S001,23,left,0.3645529287378366
S001,24,right,-2.915328988583056
S001,25,right,-1.7411634055241123
S001,26,left,20.929491097126217
S001,27,right,0.34968849575227523
S001,28,left,45.168011370329374
S001,29,left,19.405009924814472
S001,30,left,11.905752608075971
S001,31,right,20.921659335453256
S001,32,right,3.7660695797649595
S001,33,left,0.8357098756332988
S001,34,right,3.5098844352813643
S001,35,left,44.86352855731029
S001,36,left,40.25235025290523
S001,37,right,17.597079702619084
S001,38,right,-7.1777955735303465
S001,39,left,0.6261376001266186
S001,40,left,33.198756649823665
S001,41,right,15.394859982889301
S001,42,right,8.161949937201399
S001,43,left,23.898623735704753
S001,44,right,53.33155083313473
S002,0,left,-0.30561373243906687
S002,1,right,-13.157527470392136
S002,2,right,3.420616517101447
S002,3,left,-3.166387367694064
S002,4,left,34.349538043860676
S002,5,right,16.706501536984554
S002,6,right,7.620584816209696
S002,7,left,-0.2814885556197382
S002,8,right,10.912966035750856
S002,9,left,15.75650541772491
S002,10,left,6.967408689784186
S002,11,right,27.16457642794009
S002,12,left,44.348786526369345
S002,13,right,15.710826552561144
S002,14,left,6.519596276736813
S002,15,right,38.630436178648004
S002,16,left,14.142949193484423
S002,17,right,24.631784157495126
S002,18,left,-2.7588152859208144
S002,19,right,4.238203059722672
S002,20,left,-0.30229231800511513
S002,21,left,2.111193292673029
S002,22,right,-2.3500701270833986
S002,23,left,5.727303692251002
S002,24,right,5.562158368069731
S002,25,left,5.6103558136484715
S002,26,right,9.82091102855507
S002,27,right,3.823026630900891
S002,28,left,0.7136677626694379
S002,29,right,-8.947934664159302
S002,30,right,5.20922168899525
S002,31,left,2.485523816354444
S002,32,left,55.4110256179641
S002,33,right,0.38011247303754203
S002,34,left,26.43813374383516
S002,35,right,14.442662707438142
S002,36,right,15.32568968695201
S002,37,left,11.434624747494546
S002,38,left,19.21340033159732
S002,39,right,15.932455840236315
S002,40,left,10.160860442256038
S002,41,right,13.252345139584314
S002,42,right,4.299208602531223
S002,43,left,20.23570104452569
S002,44,left,10.842317275418186
S003,0,right,16.504335882934924
S003,1,left,-4.942851721976631
S003,2,right,3.8292369043531167
S003,3,left,-0.5689629630213062
S003,4,left,-7.09165227740516
S003,5,right,0.5417014800960516
S003,6,right,-21.241798664084072
